,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Total_Income
0,5849,0.0,144.0207468879668,360.0,1.0,1,5849.0
1,4583,1508.0,128.0,360.0,1.0,0,6091.0
2,3000,0.0,66.0,360.0,1.0,1,3000.0
3,2583,2358.0,120.0,360.0,1.0,1,4941.0
4,6000,0.0,141.0,360.0,1.0,1,6000.0
5,5417,4196.0,267.0,360.0,1.0,1,9613.0
6,2333,1516.0,95.0,360.0,1.0,1,3849.0
7,3036,2504.0,158.0,360.0,0.0,0,5540.0
8,4006,1526.0,168.0,360.0,1.0,1,5532.0
9,12841,10968.0,349.0,360.0,1.0,0,23809.0
10,3200,700.0,70.0,360.0,1.0,1,3900.0
11,2500,1840.0,109.0,360.0,1.0,1,4340.0
12,3073,8106.0,200.0,360.0,1.0,1,11179.0
13,1853,2840.0,114.0,360.0,1.0,0,4693.0
14,1299,1086.0,17.0,120.0,1.0,1,2385.0
15,4950,0.0,125.0,360.0,1.0,1,4950.0
16,3596,0.0,100.0,240.0,2.0,1,3596.0
17,3510,0.0,76.0,360.0,0.0,0,3510.0
18,4887,0.0,133.0,360.0,1.0,0,4887.0
19,2600,3500.0,115.0,342.5432098765432,1.0,1,6100.0
20,7660,0.0,104.0,360.0,0.0,0,7660.0
21,5955,5625.0,315.0,360.0,1.0,1,11580.0
22,2600,1911.0,116.0,360.0,0.0,0,4511.0
23,3365,1917.0,112.0,360.0,0.0,0,5282.0
24,3717,2925.0,151.0,360.0,2.0,0,6642.0
25,9560,0.0,191.0,360.0,1.0,1,9560.0
26,2799,2253.0,122.0,360.0,1.0,1,5052.0
27,4226,1040.0,110.0,360.0,1.0,1,5266.0
28,1442,0.0,35.0,360.0,1.0,0,1442.0
29,3750,2083.0,120.0,360.0,1.0,1,5833.0
30,4166,3369.0,201.0,360.0,2.0,0,7535.0
31,3167,0.0,74.0,360.0,1.0,0,3167.0
32,4692,0.0,106.0,360.0,1.0,0,4692.0
33,3500,1667.0,114.0,360.0,1.0,1,5167.0
34,12500,3000.0,320.0,360.0,1.0,0,15500.0
35,2275,2067.0,144.0207468879668,360.0,1.0,1,4342.0
36,1828,1330.0,100.0,342.5432098765432,0.0,0,3158.0
37,3667,1459.0,144.0,360.0,1.0,1,5126.0
38,4166,7210.0,184.0,360.0,1.0,1,11376.0
39,3748,1668.0,110.0,360.0,1.0,1,5416.0
40,3600,0.0,80.0,360.0,1.0,0,3600.0
41,1800,1213.0,47.0,360.0,1.0,1,3013.0
42,2400,0.0,75.0,360.0,2.0,1,2400.0
43,3941,2336.0,134.0,360.0,1.0,1,6277.0
44,4695,0.0,96.0,342.5432098765432,1.0,1,4695.0
45,3410,0.0,88.0,342.5432098765432,1.0,1,3410.0
46,5649,0.0,44.0,360.0,1.0,1,5649.0
47,5821,0.0,144.0,360.0,1.0,1,5821.0
48,2645,3440.0,120.0,360.0,0.0,0,6085.0
49,4000,2275.0,144.0,360.0,1.0,1,6275.0
50,1928,1644.0,100.0,360.0,1.0,1,3572.0
51,3086,0.0,120.0,360.0,1.0,1,3086.0
52,4230,0.0,112.0,360.0,1.0,0,4230.0
53,4616,0.0,134.0,360.0,1.0,0,4616.0
54,11500,0.0,286.0,360.0,0.0,0,11500.0
55,2708,1167.0,97.0,360.0,1.0,1,3875.0
56,2132,1591.0,96.0,360.0,1.0,1,3723.0
57,3366,2200.0,135.0,360.0,1.0,0,5566.0
58,8080,2250.0,180.0,360.0,1.0,1,10330.0
59,3357,2859.0,144.0,360.0,1.0,1,6216.0
60,2500,3796.0,120.0,360.0,1.0,1,6296.0
61,3029,0.0,99.0,360.0,1.0,1,3029.0
62,2609,3449.0,165.0,180.0,0.0,0,6058.0
63,4945,0.0,144.0207468879668,360.0,0.0,0,4945.0
64,4166,0.0,116.0,360.0,0.0,0,4166.0
65,5726,4595.0,258.0,360.0,1.0,0,10321.0
66,3200,2254.0,126.0,180.0,0.0,0,5454.0
67,10750,0.0,312.0,360.0,1.0,1,10750.0
68,7100,0.0,125.0,60.0,1.0,1,7100.0
69,4300,0.0,136.0,360.0,0.0,0,4300.0
70,3208,3066.0,172.0,360.0,1.0,1,6274.0
71,1875,1875.0,97.0,360.0,1.0,1,3750.0
72,3500,0.0,81.0,300.0,1.0,1,3500.0
73,4755,0.0,95.0,342.5432098765432,0.0,0,4755.0
74,5266,1774.0,187.0,360.0,1.0,1,7040.0
75,3750,0.0,113.0,480.0,1.0,0,3750.0
76,3750,4750.0,176.0,360.0,1.0,0,8500.0
77,1000,3022.0,110.0,360.0,1.0,0,4022.0
78,3167,4000.0,180.0,300.0,0.0,0,7167.0
79,3333,2166.0,130.0,360.0,2.0,1,5499.0
80,3846,0.0,111.0,360.0,1.0,1,3846.0
81,2395,0.0,144.0207468879668,360.0,1.0,1,2395.0
82,1378,1881.0,167.0,360.0,1.0,0,3259.0
83,6000,2250.0,265.0,360.0,2.0,0,8250.0
84,3988,0.0,50.0,240.0,1.0,1,3988.0
85,2366,2531.0,136.0,360.0,1.0,1,4897.0
86,3333,2000.0,99.0,360.0,2.0,1,5333.0
87,2500,2118.0,104.0,360.0,1.0,1,4618.0
88,8566,0.0,210.0,360.0,1.0,1,8566.0
89,5695,4167.0,175.0,360.0,1.0,1,9862.0
90,2958,2900.0,131.0,360.0,1.0,1,5858.0
91,6250,5654.0,188.0,180.0,1.0,1,11904.0
92,3273,1820.0,81.0,360.0,1.0,1,5093.0
93,4133,0.0,122.0,360.0,1.0,1,4133.0
94,3620,0.0,25.0,120.0,1.0,1,3620.0
95,6782,0.0,144.0207468879668,360.0,2.0,0,6782.0
96,2484,2302.0,137.0,360.0,1.0,1,4786.0
97,1977,997.0,50.0,360.0,1.0,1,2974.0
98,4188,0.0,115.0,180.0,1.0,1,4188.0
99,1759,3541.0,131.0,360.0,1.0,1,5300.0
100,4288,3263.0,133.0,180.0,1.0,1,7551.0
101,4843,3806.0,151.0,360.0,1.0,1,8649.0
102,13650,0.0,144.0207468879668,360.0,1.0,1,13650.0
103,4652,3583.0,144.0207468879668,360.0,1.0,1,8235.0
104,3816,754.0,160.0,360.0,1.0,1,4570.0
105,3052,1030.0,100.0,360.0,1.0,1,4082.0
106,11417,1126.0,225.0,360.0,1.0,1,12543.0
107,7333,0.0,120.0,360.0,1.0,0,7333.0
108,3800,3600.0,216.0,360.0,0.0,0,7400.0
109,2071,754.0,94.0,480.0,1.0,1,2825.0
110,5316,0.0,136.0,360.0,1.0,1,5316.0
111,2929,2333.0,139.0,360.0,1.0,1,5262.0
112,3572,4114.0,152.0,342.5432098765432,0.0,0,7686.0
113,7451,0.0,144.0207468879668,360.0,1.0,1,7451.0
114,5050,0.0,118.0,360.0,1.0,1,5050.0
115,14583,0.0,185.0,180.0,1.0,1,14583.0
116,3167,2283.0,154.0,360.0,1.0,1,5450.0
117,2214,1398.0,85.0,360.0,2.0,1,3612.0
118,5568,2142.0,175.0,360.0,1.0,0,7710.0
119,10408,0.0,259.0,360.0,1.0,1,10408.0
120,5667,2667.0,180.0,360.0,1.0,1,8334.0
121,4166,0.0,44.0,360.0,1.0,1,4166.0
122,2137,8980.0,137.0,360.0,0.0,1,11117.0
123,2957,0.0,81.0,360.0,1.0,1,2957.0
124,4300,2014.0,194.0,360.0,1.0,1,6314.0
125,3692,0.0,93.0,360.0,2.0,1,3692.0
126,23803,0.0,370.0,360.0,1.0,1,23803.0
127,3865,1640.0,144.0207468879668,360.0,1.0,1,5505.0
