,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income
249,1.0,1.0,0.0,0,0.0,1809,1868.0,90.0,360.0,1.0,2,3677.0
433,1.0,1.0,0.0,0,0.0,2425,2340.0,143.0,360.0,1.0,1,4765.0
19,1.0,1.0,0.0,0,2.0,2600,3500.0,115.0,342.5432098765432,1.0,2,6100.0
322,1.0,1.0,2.0,1,0.0,3601,1590.0,144.0207468879668,360.0,1.0,0,5191.0
332,1.0,0.0,4.0,0,0.0,2833,0.0,71.0,360.0,1.0,2,2833.0
56,1.0,1.0,0.0,0,0.0,2132,1591.0,96.0,360.0,1.0,1,3723.0
301,1.0,1.0,4.0,1,0.0,2875,1750.0,105.0,360.0,1.0,1,4625.0
229,1.0,0.0,0.0,0,1.0,6400,0.0,200.0,360.0,1.0,0,6400.0
331,1.0,0.0,0.0,0,0.0,2935,0.0,98.0,360.0,1.0,1,2935.0
132,1.0,0.0,0.0,0,0.0,2718,0.0,70.0,360.0,1.0,1,2718.0
137,1.0,1.0,2.0,0,1.0,3316,3500.0,88.0,360.0,1.0,2,6816.0
423,1.0,1.0,1.0,0,0.0,7250,1667.0,110.0,342.5432098765432,0.0,2,8917.0
335,1.0,1.0,4.0,0,1.0,5503,4490.0,70.0,342.5432098765432,1.0,1,9993.0
25,1.0,1.0,0.0,0,1.0,9560,0.0,191.0,360.0,1.0,1,9560.0
464,1.0,0.0,0.0,0,0.0,4166,0.0,98.0,360.0,0.0,1,4166.0
281,1.0,1.0,0.0,0,0.0,3927,800.0,112.0,360.0,1.0,1,4727.0
247,1.0,1.0,1.0,1,0.0,6608,0.0,137.0,180.0,1.0,2,6608.0
237,0.0,0.0,0.0,0,1.0,3463,0.0,122.0,360.0,2.0,2,3463.0
117,1.0,1.0,1.0,0,0.0,2214,1398.0,85.0,360.0,2.0,2,3612.0
42,1.0,1.0,0.0,0,0.0,2400,0.0,75.0,360.0,2.0,2,2400.0
220,1.0,1.0,0.0,0,0.0,2221,0.0,60.0,360.0,0.0,2,2221.0
176,1.0,1.0,2.0,0,0.0,2045,1619.0,101.0,360.0,1.0,0,3664.0
320,1.0,1.0,0.0,0,0.0,2400,2167.0,115.0,360.0,1.0,1,4567.0
153,1.0,1.0,2.0,1,0.0,2281,0.0,113.0,360.0,1.0,0,2281.0
231,1.0,1.0,0.0,0,2.0,3716,0.0,42.0,180.0,1.0,0,3716.0
227,1.0,1.0,2.0,0,0.0,6250,1695.0,210.0,360.0,1.0,1,7945.0
417,1.0,1.0,2.0,0,1.0,1600,20000.0,239.0,360.0,1.0,2,21600.0
203,1.0,1.0,1.0,1,0.0,3500,1083.0,135.0,360.0,1.0,2,4583.0
126,2.0,1.0,3.0,0,0.0,23803,0.0,370.0,360.0,1.0,0,23803.0
