Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Dependents_level
1,0,0,0,0,5849,0,144.020746887967,360,1,2,1,5849,0
1,1,1,0,0,4583,1508,128,360,1,0,0,6091,0
1,1,0,0,1,3000,0,66,360,1,2,1,3000,0
1,1,0,1,0,2583,2358,120,360,1,2,1,4941,0
1,0,0,0,0,6000,0,141,360,1,2,1,6000,0
1,1,2,0,1,5417,4196,267,360,1,2,1,9613,1
1,1,0,1,0,2333,1516,95,360,1,2,1,3849,0
1,1,3,0,0,3036,2504,158,360,0,1,0,5540,1
1,1,2,0,0,4006,1526,168,360,1,2,1,5532,1
1,1,1,0,0,12841,10968,349,360,1,1,0,23809,0
1,1,2,0,0,3200,700,70,360,1,2,1,3900,1
1,1,2,0,2,2500,1840,109,360,1,2,1,4340,1
1,1,2,0,0,3073,8106,200,360,1,2,1,11179,1
1,0,0,0,0,1853,2840,114,360,1,0,0,4693,0
1,1,2,0,0,1299,1086,17,120,1,2,1,2385,1
1,0,0,0,0,4950,0,125,360,1,2,1,4950,0
1,0,1,1,0,3596,0,100,240,2,2,1,3596,0
0,0,0,0,0,3510,0,76,360,0,2,0,3510,0
1,1,0,1,0,4887,0,133,360,1,0,0,4887,0
1,1,0,0,2,2600,3500,115,342.543209876543,1,2,1,6100,0
1,1,0,1,0,7660,0,104,360,0,2,0,7660,0
1,1,1,0,0,5955,5625,315,360,1,2,1,11580,0
1,1,0,1,0,2600,1911,116,360,0,1,0,4511,0
2,1,2,1,0,3365,1917,112,360,0,0,0,5282,1
1,1,1,0,2,3717,2925,151,360,2,1,0,6642,0
1,1,0,0,1,9560,0,191,360,1,1,1,9560,0
1,1,0,0,0,2799,2253,122,360,1,1,1,5052,0
1,1,2,1,0,4226,1040,110,360,1,2,1,5266,1
1,0,0,1,0,1442,0,35,360,1,2,0,1442,0
0,0,2,0,2,3750,2083,120,360,1,1,1,5833,1
1,1,1,0,2,4166,3369,201,360,2,2,0,7535,0
1,0,0,0,0,3167,0,74,360,1,2,0,3167,0
1,0,1,0,1,4692,0,106,360,1,0,0,4692,0
1,1,0,0,0,3500,1667,114,360,1,1,1,5167,0
1,0,3,0,0,12500,3000,320,360,1,0,0,15500,1
1,1,0,0,0,2275,2067,144.020746887967,360,1,2,1,4342,0
1,1,0,0,0,1828,1330,100,342.543209876543,0,2,0,3158,0
0,1,0,0,0,3667,1459,144,360,1,1,1,5126,0
1,0,0,0,0,4166,7210,184,360,1,2,1,11376,0
1,0,0,1,0,3748,1668,110,360,1,1,1,5416,0
1,0,0,0,0,3600,0,80,360,1,2,0,3600,0
1,0,0,0,0,1800,1213,47,360,1,2,1,3013,0
1,1,0,0,0,2400,0,75,360,2,2,1,2400,0
1,1,0,0,0,3941,2336,134,360,1,1,1,6277,0
1,1,0,1,1,4695,0,96,342.543209876543,1,2,1,4695,0
0,0,0,0,0,3410,0,88,342.543209876543,1,2,1,3410,0
1,1,1,0,0,5649,0,44,360,1,2,1,5649,0
1,1,0,0,0,5821,0,144,360,1,2,1,5821,0
0,1,0,0,0,2645,3440,120,360,0,2,0,6085,0
0,0,0,0,0,4000,2275,144,360,1,1,1,6275,0
0,1,0,1,0,1928,1644,100,360,1,1,1,3572,0
0,0,0,0,0,3086,0,120,360,1,1,1,3086,0
0,0,0,0,0,4230,0,112,360,1,1,0,4230,0
1,1,2,0,0,4616,0,134,360,1,2,0,4616,1
0,1,1,0,1,11500,0,286,360,0,2,0,11500,0
1,1,2,0,0,2708,1167,97,360,1,1,1,3875,1
1,1,0,0,0,2132,1591,96,360,1,1,1,3723,0
1,1,0,0,0,3366,2200,135,360,1,0,0,5566,0
1,1,1,0,0,8080,2250,180,360,1,2,1,10330,0
1,1,2,1,0,3357,2859,144,360,1,2,1,6216,1
1,1,0,0,0,2500,3796,120,360,1,2,1,6296,0
1,1,3,0,0,3029,0,99,360,1,2,1,3029,1
1,1,0,1,1,2609,3449,165,180,0,0,0,6058,0
1,1,1,0,0,4945,0,144.020746887967,360,0,0,0,4945,0
0,0,0,0,0,4166,0,116,360,0,1,0,4166,0
1,1,0,0,0,5726,4595,258,360,1,1,0,10321,0
1,0,0,1,0,3200,2254,126,180,0,2,0,5454,0
1,1,1,0,0,10750,0,312,360,1,2,1,10750,0
1,1,3,1,1,7100,0,125,60,1,2,1,7100,1
0,0,0,0,0,4300,0,136,360,0,1,0,4300,0
1,1,0,0,0,3208,3066,172,360,1,2,1,6274,0
1,1,2,1,1,1875,1875,97,360,1,1,1,3750,1
1,0,0,0,0,3500,0,81,300,1,1,1,3500,0
1,1,3,1,0,4755,0,95,342.543209876543,0,1,0,4755,1
1,1,3,0,1,5266,1774,187,360,1,1,1,7040,1
1,0,0,0,0,3750,0,113,480,1,2,0,3750,0
1,0,0,0,0,3750,4750,176,360,1,2,0,8500,0
1,1,1,0,1,1000,3022,110,360,1,2,0,4022,0
1,1,3,0,0,3167,4000,180,300,0,1,0,7167,1
1,1,3,1,1,3333,2166,130,360,2,1,1,5499,1
0,0,0,0,0,3846,0,111,360,1,1,1,3846,0
1,1,1,0,1,2395,0,144.020746887967,360,1,1,1,2395,0
0,1,2,0,0,1378,1881,167,360,1,2,0,3259,1
1,1,0,0,0,6000,2250,265,360,2,1,0,8250,0
1,1,1,0,0,3988,0,50,240,1,2,1,3988,0
1,0,0,0,0,2366,2531,136,360,1,1,1,4897,0
1,1,2,1,0,3333,2000,99,360,2,1,1,5333,1
1,1,0,0,0,2500,2118,104,360,1,1,1,4618,0
1,0,0,0,0,8566,0,210,360,1,2,1,8566,0
1,1,0,0,0,5695,4167,175,360,1,1,1,9862,0
1,1,0,0,0,2958,2900,131,360,1,1,1,5858,0
1,1,2,0,0,6250,5654,188,180,1,1,1,11904,1
1,1,2,1,0,3273,1820,81,360,1,2,1,5093,1
1,0,0,0,0,4133,0,122,360,1,1,1,4133,0
1,0,0,1,0,3620,0,25,120,1,1,1,3620,0
1,0,0,0,2,6782,0,144.020746887967,360,2,2,0,6782,0
0,1,0,0,0,2484,2302,137,360,1,1,1,4786,0
1,1,0,0,0,1977,997,50,360,1,1,1,2974,0
1,1,0,1,0,4188,0,115,180,1,1,1,4188,0
1,1,0,0,0,1759,3541,131,360,1,1,1,5300,0
1,1,2,1,0,4288,3263,133,180,1,2,1,7551,1
1,0,0,0,0,4843,3806,151,360,1,1,1,8649,0
1,1,4,0,0,13650,0,144.020746887967,360,1,2,1,13650,2
1,1,0,0,0,4652,3583,144.020746887967,360,1,1,1,8235,0
1,2,4,0,0,3816,754,160,360,1,2,1,4570,2
